first_name,sex,occurrences
Aleksandre,M,676
Philipp,M,675
Hans,M,674
Nicolai,M,673
Vsevolod,M,672
Alejandro,M,660
Jorge,M,658
Kurt,M,654
Nika,M,654
Eldar,M,649
Beka,M,648
Tristan,M,642
Dieter,M,640
Giuseppe,M,637
Bartek,M,632
Miguel,M,627
Sergio,M,620
Armin,M,620
Joel,M,619
Illya,M,618
Renat,M,614
Ruben,M,613
Ronald,M,608
Alexei,M,606
Hleb,M,605
Tom,M,604
Dylan,M,603
Tobias,M,603
Yegor,M,601
Angelo,M,600
Veaceslav,M,598
Valiantsin,M,597
Zachariasz,M,595
Dan,M,595
Heronim,M,593
Alberto,M,591
Timothy,M,591
Pedro,M,589
Petr,M,585
Eduardo,M,583
Benon,M,583
Kaspian,M,581
Euzebiusz,M,580
Oleksander,M,580
Murat,M,579
Giovanni,M,577
Steven,M,574
Evgenii,M,573
Fabio,M,571
Axel,M,571
Guy,M,570
Zbyszko,M,570
Vitalie,M,568
Leanid,M,567
Dmitri,M,566
Fernando,M,566
Christoph,M,566
Miroslav,M,565
Chrystian,M,564
Marcus,M,563
Marc,M,561
Armen,M,560
Dmitro,M,559
Michel,M,557
Alexey,M,556
Emmanuel,M,541
Karl,M,538
Davide,M,538
Artsem,M,537
Casper,M,537
Francisco,M,536
Amit,M,535
Tomas,M,532
Hasan,M,531
Nestor,M,529
Ahmad,M,529
Nikolai,M,526
Patrik,M,525
Jean,M,524
Yaraslau,M,521
Harald,M,521
Gniewko,M,520
Daviti,M,520
Ismail,M,520
Mike,M,519
Josef,M,518
Louis,M,518
Federico,M,517
Jurij,M,515
Gela,M,514
Charles,M,513
Ethan,M,512
Arkadii,M,507
Yevgen,M,504
Javier,M,503
Santiago,M,501
Nico,M,498
Gleb,M,497
Johannes,M,496
Tornike,M,492
Stephen,M,488
Marat,M,488
Jason,M,486
Walery,M,485
Petru,M,484
Narcyz,M,483
Vasil,M,483
Mikheil,M,481
Hilary,M,478
Georg,M,478
Rayan,M,477
Yakiv,M,471
Vyacheslav,M,470
Jack,M,469
Jaroslav,M,467
Franek,M,467
January,M,466
Tycjan,M,465
Tsimafei,M,464
Iurie,M,464
Reinhold,M,464
Justyn,M,463
Ievgenii,M,460
Nikoloz,M,459
Rajnold,M,459
Lorenzo,M,458
Michele,M,455
Omer,M,451
Martyn,M,448
Noel,M,446
Paolo,M,442
Philippe,M,442
Krzesimir,M,441
Nikolay,M,441
Jurand,M,439
Cezariusz,M,437
Bastian,M,436
Valeriu,M,433
Niko,M,433
Abdul,M,432
Heinz,M,430
Otto,M,429
Levani,M,428
Idzi,M,428
Robin,M,427
Marcelo,M,427
Ben,M,425
Shota,M,425
Karen,M,424
Makary,M,423
Lew,M,422
Elias,M,421
Koba,M,421
Wiaczesław,M,420
Sambor,M,416
Witalij,M,416
Serafin,M,415
Lukian,M,414
Gennadii,M,414
Jurek,M,413
Paata,M,413
Felicjan,M,412
Hordii,M,410
Matsvei,M,406
Zenobiusz,M,405
Wadim,M,403
Oktawiusz,M,401
Tymofiy,M,400
Anatolie,M,399
Gregory,M,399
André,M,397
Claudio,M,395
Artemii,M,395
Andrian,M,393
Wieńczysław,M,392
Artiom,M,392
Brak danych,M,392
Engelbert,M,391
Sylweriusz,M,391
Yosyp,M,391
Xawery,M,391
Sean,M,390
Phillip,M,388
Andrij,M,388
Lars,M,386
Brandon,M,386
Valeri,M,386
José,M,385
Gwidon,M,385
Sven,M,384
Wincent,M,384
Ewaryst,M,383
Theo,M,382
Yusuf,M,381
Hlieb,M,381
Roy,M,380
Georgios,M,378
Gia,M,378
Maxime,M,376
Diter,M,375
Rostislav,M,374
Simone,M,374
Veniamin,M,373
Marius,M,373
Alon,M,372
Emre,M,371
Teo,M,370
Krystyn,M,370
Emir,M,368
Apolinary,M,367
Arseni,M,367
Dimitri,M,367
Arman,M,367
Jonas,M,365
Glib,M,365
Yuval,M,364
Deniz,M,364
Zinovii,M,363
Reinhard,M,361
Kostyantyn,M,361
Malkhaz,M,360
Tyberiusz,M,360
Shalva,M,359
Abdullah,M,359
Raphael,M,358
Avtandil,M,358
Rajnard,M,358
