street,occurrences
Rodziewiczówny,41
Krzyżowa,41
Niedźwiedzia,41
Ceynowy,41
Frezjowa,41
Puszkina,41
Pucka,41
Plebiscytowa,41
Pochyła,40
Bystra,40
Przy Lesie,40
Panoramiczna,40
Paproci,40
Przedwiośnie,40
Bażantów,40
Damrota,40
Bobrowa,40
Aleja Niepodległości,40
Dygasińskiego,40
Jelenia,40
Zawadzkiego,40
Warsztatowa,40
Olszewskiego,40
Żuławska,40
Zamojska,40
Brzóski,40
Tenisowa,39
Zawodzie,39
Gromadzka,39
Storczyków,39
Niemena,39
Tatarakowa,39
Szybowcowa,39
Konwalii,39
Suwalska,39
Czapli,39
Bukowska,39
Powstańców Styczniowych,39
Sokołowska,39
Lubczykowa,39
Teatralna,38
Leszczyńska,38
Jeździecka,38
Dojazd,38
Trzcinowa,38
Włościańska,38
Jordana,38
Grudziądzka,38
Kwiatów Polnych,38
Żywiecka,38
Półwiejska,38
Kiepury,38
Legionów Polskich,38
Bazyliowa,38
Wietrzna,38
Roweckiego,38
Nefrytowa,38
Siemiradzkiego,38
Zamiejska,38
Pasieczna,38
Powstania Styczniowego,38
Daktylowa,38
Wjazdowa,38
Świdnicka,38
Szarotki,38
Rondo Niepodległości,38
Kameliowa,38
Bohaterów Monte Cassino,38
Krotoszyńska,38
Muzyczna,38
Herbowa,37
Jakuba,37
Rzeźnicza,37
Stodolna,37
Korzenna,37
Nowomiejska,37
Antoniego,37
Odległa,37
Lenartowicza,37
Chojnicka,37
Włoska,37
Kingi,37
Gwarków,37
Grodziska,37
Macierzanki,37
Krokusów,37
Nastrojowa,37
Anny Jagiellonki,36
Wenecka,36
Wioślarska,36
Sempołowskiej,36
Działkowców,36
Skromna,36
Porannej Rosy,36
Średzka,36
Inżynierska,36
Różyckiego,36
Aleja Róż,36
Przybyszewskiego,36
Mszczonowska,36
Wawrzyniaka,36
Lutego,36
Kowalskiego,36
Polarna,36
Gerberowa,36
Zapłocie,36
Żwirki,35
Dywizjonu 303,35
Tczewska,35
Skłodowskiej,35
Spichrzowa,35
Piłkarska,35
Kacza,35
