street,occurrences
Przystań dalbowa CPN-2,1
plac Bohaterów Getta Będzińskiego,1
plac prof. Włodzimierza Wójcika,1
skwer im. Carla Friedricha von Kulmiza,1
Rondo Pionierów Oświaty,1
Aleja Dwunasta,1
Aleja Szósta,1
rondo Marii Wardasówny,1
rondo płk. pil. Bernarda Adameckiego,1
Kaszowska,1
Baścika,1
Nabrzeże Tureckie,1
Nabrzeże Kubańskie,1
Rondo Starogardzkich Twórców Kultury,1
Nabrzeże Gliwickie,1
Osiedle Groń,1
Nabrzeże Bytomskie - Uskok,1
Godłowskiego,1
Pl. Sowińskiego,1
Ładysława,1
John Cotton Europe,1
Stefanka,1
Osiedle Krzeptówki,1
Rondo imienia Księdza Proboszcza Zenona Łuczaka,1
Gubały,1
Nowych Perspektyw,1
Rondo Produkcyjne,1
Obrońców Ukrainy 2022 roku,1
Ochla-Bakaliowa,1
Rondo Henryka Dołkowskiego,1
Osiedle Bohaterów Monte Cassino,1
Oracza,1
im. Polskiego Czerwonego Krzyża,1
Elżbiety II,1
Sarmackie,1
Aleja Druga,1
Nabrzeże Gliwickie - Uskok,1
Nabrzeże Czołowe,1
Nabrzeże Chorzowskie - Uskok,1
Bulwar Anny Walentynowicz,1
Obornickie,1
Osiedle Promieniste,1
Osiedle Kujawki,1
Osiedle Zakocierz,1
Bulwar Loir et Cher,1
Rondo ppor. Franciszka Borzycha,1
Osiedle Pardałówka,1
Sali,1
Osiedle Drzymały,1
Rondo Polskich Olimpijczyków,1
Osiedle Jeziorne,1
Rondo Bielańskie,1
Rondo Fundacji Wielka Orkiestra Świątecznej Pomocy,1
Bora - Komorowskiego,1
Izabelin,1
Aleja Czternasta,1
Aleja Siódma,1
Aleja Czwarta,1
Aleja Broni,1
rondo Józefa Świdra,1
Dworski Las,1
Skwer dra Wincentego Galicy,1
Nabrzeże Wałbrzyskie,1
Nabrzeże Katowickie,1
Chełm,1
Ratajskiej,1
Osiedle Letniskowe,1
Nabrzeże Katowickie -  Dalby,1
Nabrzeże Plaża Mieleńska,1
Pasaż Grygolunasa i Święcickiego,1
rondo Żołnierzy Polskich Misji Pokojowych ONZ,1
Pułku Berlińskiego,1
Osiedle Modrzewiowe,1
Zapory,1
Rodziny Łubieńskich,1
S.Wyszyńskiego,1
Plac Towarzystwa Jaszczurczego,1
Nabrzeże Greckie,1
Nabrzeże Niemieckie,1
Skwer Antoniego Halora,1
Trakt Dębski,1
Park Ferberów,1
Rondo Starosty Stanisława Chorobika,1
Rondo Saperów Stargardzkich,1
Kolanusa,1
Kiełpin-Zebry,1
Rondo Wadima Tyszkiewicza Prezydenta Miasta (2002-2019),1
Trakt Olkuski,1
Piszczygłowy,1
Skwer Druha Zygmunta Wiśniewskiego,1
Park Wojska Polskiego,1
Osiedle Szarych Szeregów,1
Wilkówka,1
Plac 16 Dywizji,1
Plac Kard. Stefana Wyszyńskiego,1
Węzeł Gotartowicka,1
Droga Regionalna,1
Leśnych Zwierząt,1
Rondo Jana Cierlińskiego,1
Osiedle 60-lecia Odzyskania Niepodległości Polski,1
Bohaterów Strajku w Zakładach Azotowych Puławy z 1981 roku,1
Al. Mikołaja Kopernika,1
Skwer im. Napoleona I Bonaparte,1
Plac Oleandrów,1
Krajna Park,1
Nabrzeże Rumuńskie,1
Rybki,1
Rondo Optymizmu,1
Plac Jana Kazimierza,1
Za Miastem,1
Haniaczyka,1
Wdówkowa,1
Rondo Biskupa Tomasza Wilczyńskiego,1
Rondo świętego Jana Bosko,1
Rondo im. Kresowiaków,1
Os. Centrum,1
Rondo generała Tadeusza Rozwadowskiego,1
Al. Partyzantów,1
Osiedle Boreckie,1
Skwer 100.lecia powrotu Starogardu do Macierzy,1
Nowakowa,1
Reszkego,1
skwer Adama Wójcika,1
Willa Wrzos,1
Do Słupiny,1
Krzyża,1
Rondo Premiera Tadeusza Mazowieckiego,1
Skwer Antoniego Sypka,1
Skwer Porozumień Sierpniowych,1
Osiedle Dr. Franciszka Raszei,1
Rondo im. płk Zieleniewskiego,1
Skwer Michała Beliny-Czechowskiego,1
Skwer Wacława Lipińskiego,1
Osiedle Jesionowe,1
Zielone Łany,1
Al. Generała Władysława Sikorskiego,1
Nabrzeże Starówka,1
Nabrzeże Spółdzielcze 2,1
Park Pszczelnik,1
Stary Ogród,1
Skwer im. Stefana Eleka,1
Park Szmaragdowa Wyspa przy Willi Radlika,1
Pasaż bł. ks. Franciszka Drzewieckiego,1
Osiedle Ziemianek,1
Osiedle Za Jeziorem,1
Rynek im. Biskupa Stefana Wierzbowskiego,1
Rondo im. prof. Gabriela Narutowicza,1
Skarpa Kabacka,1
Monteverdiego,1
Plac im. prof. Wiktora Wawrzyczka,1
Aleja Żeglarska,1
Pl. Winniczny,1
aleja im. Mieszkańców Siemianówki,1
Biometryczna,1
Wiązarowa,1
Aleja Wielkopolska,1
Pasaż Zrzeszenia Wolność i Niezawisłość,1
Droga Szwedzka,1
Rondo PCK,1
Wiadukt Mieczysława Burego,1
Rondo Ochrony Przyrody,1
Osiedle Modrzewina,1
Osiedle Baranciak,1
Kudyka,1
Al. Armii Krajowej,1
Plac Włókniarzy,1
Rondo Demokracji,1
Olenderska,1
Na końcu tęczy,1
Rondo Polskich Spadochroniarzy,1
Artystów Polskich,1
Nad Osą,1
Osiedle Wypoczynek,1
Herbowe,1
Tyszera,1
Nabrzeże Belgijskie,1
Nabrzeże Angielskie,1
Plac Skrzeka i Wójcika,1
Plac Piotra Skargi,1
Skwer Narodowych Sił Zbrojnych,1
Automatyków,1
Wybudowania Godoskie,1
Lawendowe,1
Karłowskiej-Kamzowej,1
Rondo im. ks. Romana Sikory,1
Skwer Pokolenia Kolumbów,1
Plac Służewski,1
Plac Piastów,1
Parków Krajobrazowych,1
Do dębków,1
Bitwy Jaktorowskiej,1
Rynek Żydowski,1
Osiedle Korczaka,1
Plac Wolności im. Jana Pawła II,1
park ks. Karola Wojtyły,1
Bobkowska,1
Na Cyplu,1
Woźnego,1
Czaplickiej,1
Łagockiego,1
Drezynowa,1
Park Miejski im. Górników Siarkowych,1
Mączyńskiej,1
Rondo Świętego Arcybiskupa Józefa Bilczewskiego,1
Miłośników 4 kółek,1
Aleja Zbóż,1
Rondo Ministra Becka,1
Park Miętowa Wyspa w Radoszowach,1
Park Malachitowa Wyspa przy Starej Dyrekcji,1
Orione,1
Bohaterów Dobrowa,1
Myrchy,1
Uszatki,1
Rondo Artemiego Aroniszydzego,1
Sokoła Millennium,1
Nabrzeże Luksemburskie,1
Nabrzeże Warszawskie,1
Plac Bohaterów Września,1
Plac Księdza Hanusiaka,1
Gewerta,1
Boguty,1
Hanny Ożogowskiej,1
Aleja Jarosława Iwaszkiewicza,1
Aleja Tadeusza Różewicza,1
Paryż Dolny,1
Sikorowska,1
Rondo Józefa Larysza,1
Oraczewicka,1
plac Dr. Rydygiera,1
Osiedle na Olimpie,1
Bł. ks. Jerzego Popiełuszki,1
Osiedle Ramendowskie,1
Park im. Bł. Karoliny Kózki,1
Rondo im. ks. prał. Stanisława Burczyka,1
Krzyżowej Doliny,1
Osiedle Medyk,1
Protasewicza,1
Wrocławskich Rotarian,1
Osiedle 800-lecia Starogardu,1
Skwer Kombatantów RP,1
Bieliczna,1
Zawiei,1
Imprezowa,1
Osiedle Pod Skarpą,1
Osiedle Pod Kasztanami,1
Za Leśniczówką,1
Plac 800-lecia Mikołowa,1
Modliszki,1
Świtu,1
Solidarności Polsko-Czesko-Słowackiej,1
Piziewicza,1
Geodetów Ziemi Łomżyńskiej,1
Rondo im. Rozstrzelanych 8 czerwca 1943 roku,1
Rondo im. Lesława Kornaka,1
Osiedle Leśny Dwór,1
Osiedle Raculka,1
Skwer Marcina z Urzędowa,1
Park Stefanii i Juliana Tuwimów,1
Jankisza,1
Pudrowa,1
Aleja Sławomira Mrożka,1
Rondo Krzysztofa Kozłowskiego,1
Rondo Honorowych Dawców Krwi PCK,1
Rondo Internowanych,1
Osiedle Ks. kan. Stanisława Peplińskiego,1
Grochowalskiego,1
Pl. Młyński,1
Skwer Św. Jana Chrzciciela,1
Rondo Nadwiślańskie,1
Sołtyse,1
Bulwar Jana Pawła II,1
Bydgoskiej Palestry,1
Rajskie Jabłuszka,1
Specjalna,1
Skwer Henryka Kluby,1
Plac im. Andrzeja Listwana,1
Osiedle Uczonych,1
Putka,1
Wnucząt,1
Przejazd Kolejowy,1
Nabrzeże Polskie,1
Nabrzeże Gnieźnieńskie,1
Dyskretna,1
Park Miejski w Czyżewie im. prof. Mariana Sokołowskiego,1
rondo Andrzeja Forysia,1
Park im. Aleksandra Ładosia,1
Warsztatów Jazzowych,1
Marglówka,1
Orwid,1
Aleja Krzysztofa Skubiszewskiego,1
Skwer mjr. Wacława Szewielińskiego,1
Rondo imienia Edwarda Baldysa,1
Skwer Smoleński,1
Kiełpin-Pelikana,1
Spendla,1
Plac ks. Franciszka Melzera,1
Kocanek,1
Skwer im. Szarych Szeregów,1
Kazubska,1
Osiedle dr. Józefa Putka,1
Osiedle Malatowskie,1
Dobrej Zabawy,1
Park XXV-lecia Polski Rzeczypospolitej Ludowej,1
Rondo Stulecia Niepodległej,1
Rondo im. Marszałka Marka Nawary,1
Lechowskiego,1
Park Miejski Burmistrza Józefa Kaźmierskiego,1
Lokomotywowa,1
Rondo Pokrzywnica,1
Skwer księdza Konrada Pomorskiego,1
Kiełpin-Krokodyla,1
Huszczy,1
Hydrologów,1
Rondo im. marszałka Ferdynanda Focha,1
Rogańskiego,1
Małe Brzeźno,1
Skwer Legionów Polskich,1
Wąwóz św. Jacka Odrowąża,1
Park Milenium Gdańska,1
Nabrzeże Węgierskie,1
Nabrzeże Zbożowe,1
Nabrzeże Krakowskie,1
Plac 100-lecia Odzyskania Niepodległości Polski,1
Lubiczówka,1
Rondo im. Księdza Jana Niedziałka,1
Rondo im. Stefanii Karoliny Karpowicz,1
Nad Czarną Wodą,1
Osiedle Borczakówka,1
Osiedle Warkocz,1
Rondo Jarocińskich Latających Kompanii 1918-1919,1
Plac Kultury,1
Skwer Ks. Ignacego Piwowarskiego,1
Bursztynowe Wzgórza,1
Kasztanowca,1
Obrembskiego,1
skwer im. Jacka Nieżychowskiego,1
Plac Profesora Jana Szyrockiego,1
Rondo imienia Księdza Lucjana Gierosa,1
Kukułówka,1
Plac ks. Ferdynanda Sznajdrowicza,1
Bitwy pod Świecinem,1
Skwer im. Ireny Jarockiej,1
Na Kamieniec,1
skwer Wiedźmina,1
Rondo im. Lotników Alianckich,1
Spokojna Przystań,1
Gruchmanowej,1
most Zygmunta II Augusta,1
NSZZ SOLIDARNOŚĆ,1
Błeńskiej,1
Serdecznika,1
Żubrów Murckowskich,1
Aleja Kolejowa,1
Horniok-Pieńki,1
imienia por. Antoniego Wszelakiego,1
1000 lecia PP,1
Rondo im. Księdza Konrada Wedelstaedta,1
Rondo Czesława Miłosza,1
Rawa,1
Polskich Noblistów,1
Rondo mjra Konstantego Mikołaja Radziwiłła ps. Korab,1
Nadgórki,1
Joachima,1
Staroradomska,1
Plac Księcia Barnima I,1
Quo Vadis,1
Przy Szlaku Papieskim,1
Rondo im. Orląt Lwowskich,1
Park Fryderyka Chopina,1
Plac Założycieli Ochotniczej Straży Pożarnej,1
Osiedle Sambora I,1
Starohutnicza,1
Ofiar Grudnia 1970,1
Jarców,1
"Franczaka ps. ""Lalek""",1
Mirażowa,1
Jakuszyce,1
Plac St. Staszica,1
Aleja Rotmistrza Pileckiego,1
Skwer Kazimierza Wielkiego,1
"Skwer im. prof. hm. Aleksandra Kamińskiego ""Kamyka""",1
Świętej Małgorzaty,1
Morskiego Oka,1
Jurałomskiego,1
Żeglugi Powietrznej,1
Hrabowskiej,1
Osiedle Przyszłość,1
Słodkich Sadów,1
skwer Matki Bożej Wspomożycielki Wiernych,1
Warsowin,1
Rondo im. Józefa Skrobiszewskiego,1
Anteckiego,1
Osiedle Borek,1
Kajaka,1
Rondo Mistrza Lazarusa,1
Rżysko,1
Katuszewskiego,1
Korpikiewicza,1
im.Wł.St.Reymonta,1
Klaus,1
Knycza,1
Skwer Umowy Zgierskiej,1
Hartwig,1
Drozd,1
Dolina Krzemowa,1
Kabata,1
Rodziny Kucharskich,1
Skwer im. Karola Hillera,1
Operacji Weller,1
al. Marszałka Józefa Piłsudskiego,1
Berezeckiego,1
Budowniczych Centralnego Okręgu Przemysłowego,1
Karaibska,1
Aleja Ofiar Hitleryzmu,1
Rondo Zygmunta Puławskiego,1
Rondo im. mjr. pil. Jana Mioduchowskiego,1
Park Usteckich Stoczniowców,1
Faworytka,1
Rondo Zaborowo,1
Sygrydy,1
Osiedle Rzeczne,1
Osiedle Gajowe,1
Pod Ogród,1
Ligasówka,1
Osiedle Międzylesie,1
Osiedle Kresowe,1
Osiedle Millenium,1
Trakt Nadwiślański,1
Rondo Merksplas,1
Rondo płk. Teodora Cieszkowskiego,1
Rondo Jasnej i Dersława,1
Rondo pod Zegarem,1
Rondo Dorsten,1
Plac Wojciecha Kilara,1
Janka,1
Osiedle 700-lecia Żor,1
Federowicza,1
Znamirowskiego,1
Rondo Imienia Ofiar Katynia,1
"Komorowskiego ""Bora""",1
Plac Róży Wiatrów,1
Rygulskiego,1
plac Krzysztofa Pendereckiego,1
Rondo im. S. Dariusa i S. Girenasa,1
Pięknej i Bestii,1
Pasaż im. Vladka Sheybala,1
skwer Hallerczyków,1
Skrzydlatych Braci,1
Remiszewskiego,1
Rondo 100 - lecia Niepodległości,1
Rondo 70-lecia Golubia-Dobrzynia,1
Rondo im. kpt. Franciszka Macha,1
Zakącie,1
Os. Nowe,1
Łuszcza,1
Rondo Stanisława Saksa,1
Osiedle Jedność,1
Rynek Trybunalski,1
Plac Świętego Sebastiana,1
Zagórska Droga,1
Osiedle Za Młynem,1
Nabrzeże Albańskie,1
Nabrzeże Egipskie,1
Nabrzeże Wrocławskie,1
Rondo Maciej,1
Osiedle Warmińskie,1
Skwer Przyjaciół Dzieci,1
Aleja Bł. Sadoka i Męczenników Sandomierskich,1
Oliwski Park imienia Adama Mickiewicza,1
Nad Leśnym Potokiem,1
Rondo Leszczynko,1
Rondo Zofii Kossak,1
Słoneczne Osiedle,1
Panerka,1
Kujawskich,1
Skwer Ozjasza Thona,1
Planty imienia Jerzego Wyrobka,1
Wołka,1
Famotu,1
Błogosławionego Ojca Rafała,1
pl. Doktora Edwarda Łuczkowskiego,1
Sonnego,1
Rondo Michał,1
Lenki,1
Poniatówka,1
Plac im. Powstań Śląskich 1919-1921,1
Plac ks. Michała Kaczmarka,1
Hilczer-Kurnatowskiej,1
Skwer gen. Franciszka Ksawerego Latinika,1
Skwer Jacka Kuronia,1
Rondo im. Józefa Gawła,1
Oksynowa,1
Rondo im. Papieża Jana Pawła II,1
Skwer Bolesława Krzywoustego,1
Północna II,1
Skwer imienia Rotmistrza Witolda Pileckiego,1
plac Witalisa Ugrechelidze,1
Grondowa,1
Bohaterów Bitwy Warszawskiej 1920,1
Plac Św. Wojciecha,1
Plac im. generała György Klapka,1
Rondo Ks. Prałata Michała Józefczyka,1
Wróżki,1
Basistówka,1
rondo imienia Wielkiej Orkiestry Świątecznej Pomocy,1
Rondo Herberta Hoovera,1
Osada Koziki,1
Powstańców 1863 R.,1
Aleja Dziewolskich,1
Kurucówka,1
Piszka,1
Do Sadku,1
J.M.Waisenberga,1
Bulwary św. Jana Teologa,1
"Deptak gen. bryg. Stanisława Sojczyńskiego ""Warszyca""",1
Lendzinek II,1
Południowa I,1
Rondo świętego Floriana - Patrona Miasta,1
Babie lato,1
Rondo Głuchowskie,1
Plac Stanisława Staszica,1
Fauny,1
Skóry,1
Ireneusza,1
Kurzejówka,1
Molinezji,1
plac Adama Mickiewicza,1
Strażaków Polskich,1
Skwer Ryszarda Szurkowskiego,1
Rondo Republiki Słowackiej,1
Aleja ks. Józefa Tischnera,1
Paryż Górny,1
Plac Cypriana Norwida,1
Mikołajewskiego,1
Przasnyskich Medyków,1
Rondo Kazimiery Łuczak,1
Aleja Europejska,1
Kiełpin-Żyrafy,1
Kiełpin-Lwa,1
Skwer Bractw Strzeleckich,1
Holograficzna,1
Plac Biskupa Wilhelma Pluty,1
Skwer Pokoleń Mazura Wydminy,1
Zarzeka,1
Promenada im. Aleksandra Doby,1
Aleja Czesława Miłosza,1
Jaśminowe Wzgórze,1
Czerniejska,1
Rondo im. Kresowian,1
Nad Wierzbami,1
Leśna polana,1
Błonie im. Marianny Orańskiej,1
Godnówka,1
Rondo Politechniki Koszalińskiej,1
Kornackiego,1
Spóza,1
Puchałowa,1
Łyżniakowa,1
Maszewice,1
Zaklasztorze,1
Kubaczewskiego,1
Aleja Promnitzów,1
Bikówka,1
Bulwar WSK Rzeszów,1
Rynek im. Księdza Leonarda Stawickiego,1
Łempickiej,1
Rondo Prezydenta Ronalda Reagana,1
Plac im. Ryszarda Tokarczyka,1
Latoski,1
Skwer Stefana Syrka,1
Park Reduta,1
Park Czyżyny,1
Osiedle Nad Stawami,1
Maliniki,1
Dolinki,1
Wdżary,1
Cyconia,1
Korzeczków,1
Maślerki,1
Osiedle Przy Wiadukcie,1
Osiedle Komara,1
Janeczka,1
Rondo Romana Wilhelmiego,1
Rondo Albiny Kuraś,1
Dolina Słupi,1
Porucznika AK Stanisława Doliny,1
Stefanowskiej,1
Jały,1
Kroppa,1
Za Dworkiem,1
Al. Wincentego Witosa,1
Rondo im. mjr Ludwika Zwolańskiego,1
Fenicka,1
Rondo mjr. hm. Bronisława Jastrzębskiego,1
Plac Księżnej Anny Mazowieckiej,1
Skwer Spotkania,1
park Tilebeinów,1
Droga Metalowców,1
Sapieniec,1
rondo im. Ofiar Bombardowania Wielunia 1 Września 1939 r.,1
"Pilata ""Zaremba""",1
Sobotki,1
Źródlany Gaj,1
Litewki,1
Pergoli,1
Rondo Usteckie,1
Rondo Dywizjonu 302 (Poznańskiego),1
Rondo Kornela Morawieckiego,1
Banaś,1
Park Chojeński,1
Droga Mazurska,1
skwer Franciszka Jamrożego,1
Międzygaje,1
Skwer im. Jerzego Jarockiego,1
Spychały,1
Skrzyniecka,1
Rondo Józefa Jana Kubali,1
Fabryczna Boczna,1
Horowskiego,1
Ambrowa,1
Do Parowozowni,1
Rondo im. Antoniego Kolczyńskiego,1
Paryje,1
Na Głębokie,1
"Rondo Bolesława Wojciecha Omyły ps. ""Wojtek""",1
Skwer Władysława Strzemińskiego,1
Poczty Saskiej,1
Orlik-Rückemanna,1
Druckiego Lubeckiego,1
Aleja III Tysiąclecia,1
Osiedle za Lipami,1
Anny z Przemyślidów,1
Pawlikówka,1
Lizarówka,1
Osadników Białogardzkich,1
Rondo gen. pilota Stanisława Skalskiego,1
Morcinek,1
Leśnego Zakątka,1
Ruxerówny,1
Park Trzy Wyspy,1
Skwer im. Zakonu Joannitów,1
Watahy,1
Park - im. Andrzeja Błachańca,1
Aleja Matek Polskich,1
Oxińskiego,1
Skwer Jadwigi Szustrowej,1
"Sojczyńskiego ""Warszyca""",1
Rondo księdza Jana Lisa,1
Rondo Izydora Fabiszaka,1
Dorny,1
Plac Juranda,1
Rondo im. gen. Meriana C. Coopera,1
Za Młynem,1
Skwer Bolesława Holeckiego,1
Hollaka,1
Bulwar Sybiraków,1
Reimanna,1
Juchnowicza,1
Droga Dąbrowiecka,1
Kolińskiego,1
Knauera,1
Kameli,1
Agackiej-Indeckiej,1
"Skury-Skoczyńskiego ""Robotnika""",1
Brukselkowa,1
Folty,1
Jaski,1
Grabary,1
Gomoliszewskiego,1
Dżdżysta,1
Brzozowa Przystań,1
Cukrozetka,1
Park Pięciu Sióstr,1
Rondo Szafrańców,1
Szymichowskiej,1
Pasaż Marii Morskiej,1
Pasaż Ireny Krzywickiej,1
Ostrawa,1
Stryszowska,1
Park Zbójnicki,1
Droga Łąkowa,1
Droga Przechodnia,1
Droga Jeziorna,1
Szałkowskiego,1
Plac Klonowy,1
Głucha Dolina,1
Dzwonowskiego,1
Komisowa,1
Osiedle Kopcówka,1
Akrobatów,1
Kultury przestrzeni,1
Sulatyckiego,1
Skwer asp. Jana Górskiego,1
Szulmińskiego,1
Praweckiego,1
Rondo Żwirki i Wigury,1
Park im. Profesora Zygmunta Wnuka,1
Jana Fryderyka,1
Nad Wiaduktem,1
Floriańczyka,1
Droga Bociania,1
Promenada Niegocin,1
Plac Wałowy,1
Plac Trzeciego Tysiąclecia,1
Park Prezydenta Ronalda Reagana,1
Plac Dariusza Kobzdeja,1
pl. Józefa Piłsudskiego,1
Plac Mały Rynek,1
Osiedle Króle,1
Osiedle Brzezie,1
Osiedle Połanki,1
Osiedle Łupienie,1
Osiedle Łukowie,1
Osiedle Gąszcze,1
Osiedle Kolebisko,1
Osiedle Kłodne,1
Skwer Mieczysława Święcickiego,1
Malwinowska,1
Łosińskiego,1
Wiadukty Wielkiej Orkiestry Świątecznej Pomocy,1
Nabrzeże Farblak,1
Nabrzeże Almex,1
Nabrzeże Regalica,1
Nabrzeże Bydgoskie,1
Poinca,1
Skwer Krzysztofa Kolbergera,1
Plac Obrońców Poczty Polskiej,1
Plac ks. Józefa Zator-Przytockiego,1
Plac Jerzego Kołodziejskiego,1
Plac gen. Józefa Wybickiego,1
Rondo imienia Podporucznika Klemensa Wickiego,1
Plac Śląski,1
Rondo Świętego Rocha,1
pl. Wolności,1
Haberbuscha i Schielego,1
Pod Ciechocin,1
Pod Sławęcin,1
Nabrzeże Koksochemii,1
Nabrzeże Dolnośląskie,1
Nabrzeże CPN-3,1
Nabrzeże Elektrowni,1
Park pod Brzozami,1
Plac Zebrań Ludowych,1
Ks.P.Dunajskiego,1
Aleja Gen. Józefa Hallera,1
Św. Hieronima,1
Osiedle Forendówki,1
Osiedle Majdówka,1
Aleja T. Kościuszki,1
Osiedle Studzionki,1
Aleja Ujazdowska,1
"Rondo ""1 Pułku Chemicznego""",1
Disneya,1
Koszykowy Dwór,1
Chmielonko,1
Aleja Ofiar Obławy Augustowskiej,1
Osiedle Mastalerze,1
Osiedle Buciorówka,1
Osiedle Bielskie,1
Osiedle Bartoszówka,1
Osiedle Jamne,1
Osiedle Polaki,1
Osiedle Ustrzyk,1
Osiedle Brysiówka,1
Osiedle Bibiarze,1
Osiedle Nogawki,1
Osiedle Sojkówka,1
Osiedle Kozuby,1
Osiedle Młynne,1
Osiedle Kuce,1
Osiedle Nadzieja,1
Skwer Jerzego Turaszwiliego,1
Aleja ks. Józefa Kurzei,1
Skwer prof. Zbigniewa Religi,1
Skwer Druha Zygmunta Łęskiego,1
Rondo Mariana Kaznowskiego,1
Rondo ks. Stanisława Guzika,1
Droga Graniczna,1
Via Coreno Ausonio,1
Osmólskiej,1
Osiedle Michałki,1
Osiedle Gorcowe,1
Osiedle Hologówka,1
Osiedle Lubańskie,1
Osiedle Tarchały,1
Osiedle Twarogi,1
Rondo Stanisława Mikołajczyka,1
Osiedle Brzegi,1
Osiedle Zaziąbły,1
Osiedle Zabliszcze,1
Osiedle Patorówka,1
Osiedle Talafusy,1
Osiedle Stachówka,1
Osiedle Miazgi,1
Zaszkole,1
Osiedle Holina,1
Osiedle Iwanki,1
Osiedle Rola,1
Osiedle Szymany,1
Osiedle Leskówka,1
Osiedle Kapłony,1
Osiedle Równie,1
Al. generała Władysława Sikorskiego,1
Suchostrzygi Dworzec,1
Żabostowo,1
Przyborzycka,1
Rondo PePeGe,1
Bażaniec,1
Plac Ujazdowski,1
Plac por. Mieczysława Targowskiego,1
rondo Sue Ryder,1
Wiekowego Dębu,1
Słonecznika,1
Amernia,1
Janka i Tereski,1
Osiedle Na Łąkach,1
Skwer Ziemi Aniołów,1
Pod Tor,1
Osiedle Patria,1
Osiedle Komanie,1
Iwańskiego,1
Nad Sztolnią,1
Alejka Obserwatorów Przyrody,1
Plac Ludomira Różyckiego,1
Leśne Gniazdo,1
Aleja Lichomskich,1
"Siedzikówny, pseud. ""Inka""",1
Pasy Leśne,1
Nabrzeże Łańcuchowe,1
Nabrzeże Mazowieckie,1
Panoniewo,1
Skórzewskiej,1
Rondo Św. Ottona,1
Rondo Mrzeżyńskie,1
Most im. ks. ppłk. Jana Leona Ziółkowskiego,1
Skwer im. Leszczyńskich Przeciwlotników,1
Osiedle Ustronne,1
"Miąca ps. ""Korsarz""",1
Na Dębniak,1
Gruczy,1
Rondo Słonia,1
Drzymałowska,1
Frankla,1
Greinke,1
Rondo św. Floriana,1
Rondo im. Stefana Bałuka,1
Leszkiewicza,1
Rondo Portowe,1
Ottona,1
Zrzeszyńców,1
Nabrzeże Kapitanatu,1
Nabrzeże Wulkan S,1
Nabrzeże Warsztatowe,1
Osiedle Filmowe,1
Osiedle Kople,1
Szlachcica,1
Pułku Strzelców Konnych Armii Krajowej,1
Rynek 600-lecia,1
Kumko,1
Uzbecka,1
Zajazie,1
Podświerkle,1
Nabrzeże Pirs doku nr 5,1
Nabrzeże Bulwar Chrobrego,1
Nowsza,1
Rondo im. Stanisława Kochanka,1
Wdowia,1
Ruchocki Młyn,1
"Skwer Ryszarda ""Skiby"" Skibińskiego",1
Rondo Kontruderzenia znad Wieprza 1920,1
Nabrzeże Wieleckie,1
Plac im. Krzysztofa Pendereckiego,1
Rekina,1
Rondo im. Gmin Partnerskich,1
Goździa,1
Park Cedron,1
Błahuta,1
Wasaka,1
Łany Dobrzeckie,1
Rondo imienia Jana Henryka Jedynaka,1
Wiśniówka,1
Joannitów Poznańskich,1
Nad Duńczycą,1
Do Czerwonego Mostu,1
Kucharzyka,1
Skwer Anny Markowej,1
Marjańskiej,1
Galwaniego,1
Szyba,1
Skwer płk. Jerzego Pertkiewicza,1
Rondo imienia księdza Prałata Franciszka Gębały,1
Park księdza Alberta Wilimsky'ego,1
os. Graby,1
Droga św. Jakuba,1
Skwer Ruchu Młodej Polski,1
Koplana,1
Na Machaczki,1
Rondo Jakuba hrabiego Potockiego,1
Skwer Dawnych Motocykli,1
Nabrzeże Huk,1
Nabrzeże SUM-N,1
Plac Teatralny im. Kazimierza Kutza,1
Pl. Braci Lipieniów,1
Skwer Józefa Świdra,1
Czyrnego,1
Łoteckiego,1
Drzewińskiego,1
Gumowa,1
Nagyego,1
Nabrzeże BON,1
Nabrzeże SUM-S,1
Rondo Maksymiliana Ludertowicza,1
rondo dr. Jacka Śniegockiego,1
Śliwnicka,1
Rondo imienia Adama Mickiewicza,1
Skwer Pawła Bogdana Adamowicza,1
Wąwóz Modesta Sękowskiego,1
Skwer imienia księdza Józefa Kempińskiego,1
Skwer 100-lecia Powstań Śląskich,1
Park im. Profesora Bolesława Briksa,1
Park Szachisty,1
Plac ks. Kazimierza Lisowicza,1
Do Nekielki,1
Rondo im. Błogosławionego Ks. Jerzego Popiełuszki,1
Aleja Polipol,1
Bł. ks. Romana Sitki,1
Rondo Józefa Łączyńskiego,1
Przy Nowinie,1
Rondo Jana Głuszaka Dagaramy,1
Nabrzeże Pasażerskie,1
Nabrzeże Odra Stare,1
Rondo Przyjaciół Łomży,1
Aleja Targowa,1
Skwer płk. Romana Kłoczkowskiego,1
Rondo Vitre,1
Gruszecka,1
Plac Zesłańców Sybiru i Ofiar Katynia,1
Skwer Solidarności Walczącej,1
Wesslów,1
Czudecka,1
Przemyka,1
Skwer Związku Harcerstwa Polskiego,1
Plac Rybaki,1
Porwanów,1
Zatonie-Orchidei,1
park Wolności,1
Rondo XX Batalionu Szturmowego Armii Krajowej,1
Sokółka,1
Rondo im. Jerzego Patana,1
Grota Roweckiego,1
Osiedle Piastów Śląskich,1
Fondamińskiego,1
Batalionu Platerówek,1
Parola,1
Iczka,1
Lelka - Sowy,1
100-Lecia Niepodległości,1
Skwer Księdza Kapitana Piotra Gajdy,1
Bulwar 100-lecia Odzyskania Niepodległości,1
Dolina Żurawi,1
Międzyosiedlowa,1
Paradowskiej,1
Złotokłosu,1
